algo,k,threads,time(ms),rep
Naive,26,12,39373,0
SeqPriority,26,12,1421227
ParPriority,26,12,265943,0
SeqPermutation,26,12,484590,0
ParPermutation,26,12,186147,0
ParPermutationFull,26,12,7357368,0
Naive,26,12,40217,1
SeqPriority,26,12,1327354
ParPriority,26,12,240575,1
SeqPermutation,26,12,485407,1
ParPermutation,26,12,185527,1
ParPermutationFull,26,12,7309338,1
Naive,26,12,39158,2
SeqPriority,26,12,1476914
ParPriority,26,12,249570,2
SeqPermutation,26,12,481689,2
ParPermutation,26,12,181912,2
ParPermutationFull,26,12,7305078,2
Naive,26,12,39389,3
SeqPriority,26,12,1334855
ParPriority,26,12,241457,3
SeqPermutation,26,12,494726,3
ParPermutation,26,12,186255,3
ParPermutationFull,26,12,7303283,3
Naive,26,12,39521,4
SeqPriority,26,12,1423785
ParPriority,26,12,239219,4
SeqPermutation,26,12,493710,4
ParPermutation,26,12,184945,4
ParPermutationFull,26,12,7332505,4
Naive,1355,12,40766,0
SeqPriority,1355,12,1498431
ParPriority,1355,12,251484,0
SeqPermutation,1355,12,497358,0
ParPermutation,1355,12,183987,0
ParPermutationFull,1355,12,7297833,0
Naive,1355,12,41227,1
SeqPriority,1355,12,1407510
ParPriority,1355,12,242081,1
SeqPermutation,1355,12,498423,1
ParPermutation,1355,12,186435,1
ParPermutationFull,1355,12,7290956,1
Naive,1355,12,40044,2
SeqPriority,1355,12,1277688
ParPriority,1355,12,240483,2
SeqPermutation,1355,12,496723,2
ParPermutation,1355,12,186943,2
ParPermutationFull,1355,12,7304748,2
Naive,1355,12,41071,3
SeqPriority,1355,12,1160646
ParPriority,1355,12,254974,3
SeqPermutation,1355,12,497845,3
ParPermutation,1355,12,186745,3
ParPermutationFull,1355,12,7294871,3
Naive,1355,12,40372,4
SeqPriority,1355,12,1481733
ParPriority,1355,12,238054,4
SeqPermutation,1355,12,505372,4
ParPermutation,1355,12,183134,4
ParPermutationFull,1355,12,7299684,4
Naive,2684,12,39709,0
SeqPriority,2684,12,1192474
ParPriority,2684,12,238091,0
SeqPermutation,2684,12,494469,0
ParPermutation,2684,12,187439,0
ParPermutationFull,2684,12,7301332,0
Naive,2684,12,39948,1
SeqPriority,2684,12,1324618
ParPriority,2684,12,239032,1
SeqPermutation,2684,12,489507,1
ParPermutation,2684,12,189335,1
ParPermutationFull,2684,12,7302133,1
Naive,2684,12,40104,2
SeqPriority,2684,12,1335408
ParPriority,2684,12,243513,2
SeqPermutation,2684,12,497731,2
ParPermutation,2684,12,196822,2
ParPermutationFull,2684,12,7298274,2
Naive,2684,12,39400,3
SeqPriority,2684,12,1352490
ParPriority,2684,12,258752,3
SeqPermutation,2684,12,490042,3
ParPermutation,2684,12,182126,3
ParPermutationFull,2684,12,7302575,3
Naive,2684,12,39773,4
SeqPriority,2684,12,1401110
ParPriority,2684,12,243523,4
SeqPermutation,2684,12,491725,4
ParPermutation,2684,12,185853,4
ParPermutationFull,2684,12,7297454,4
Naive,4012,12,39663,0
SeqPriority,4012,12,1362164
ParPriority,4012,12,238604,0
SeqPermutation,4012,12,489961,0
ParPermutation,4012,12,187660,0
ParPermutationFull,4012,12,7291998,0
Naive,4012,12,40512,1
SeqPriority,4012,12,1351334
ParPriority,4012,12,247709,1
SeqPermutation,4012,12,495439,1
ParPermutation,4012,12,183949,1
ParPermutationFull,4012,12,7290477,1
Naive,4012,12,40493,2
SeqPriority,4012,12,1244071
ParPriority,4012,12,245462,2
SeqPermutation,4012,12,498479,2
ParPermutation,4012,12,191016,2
ParPermutationFull,4012,12,7298754,2
Naive,4012,12,40574,3
SeqPriority,4012,12,1366285
ParPriority,4012,12,260143,3
SeqPermutation,4012,12,497325,3
ParPermutation,4012,12,185169,3
ParPermutationFull,4012,12,7301256,3
Naive,4012,12,40665,4
SeqPriority,4012,12,1245490
ParPriority,4012,12,238355,4
SeqPermutation,4012,12,490020,4
ParPermutation,4012,12,183987,4
ParPermutationFull,4012,12,7285127,4
Naive,5341,12,40110,0
SeqPriority,5341,12,1381339
ParPriority,5341,12,236863,0
SeqPermutation,5341,12,491098,0
ParPermutation,5341,12,191746,0
ParPermutationFull,5341,12,7292360,0
Naive,5341,12,40524,1
SeqPriority,5341,12,1497991
ParPriority,5341,12,247602,1
SeqPermutation,5341,12,494472,1
ParPermutation,5341,12,186903,1
ParPermutationFull,5341,12,7292693,1
Naive,5341,12,40381,2
SeqPriority,5341,12,1277857
ParPriority,5341,12,240433,2
SeqPermutation,5341,12,489621,2
ParPermutation,5341,12,187408,2
ParPermutationFull,5341,12,7294256,2
Naive,5341,12,39745,3
SeqPriority,5341,12,1389179
ParPriority,5341,12,253066,3
SeqPermutation,5341,12,491121,3
ParPermutation,5341,12,182920,3
ParPermutationFull,5341,12,7292212,3
Naive,5341,12,41340,4
SeqPriority,5341,12,1299949
ParPriority,5341,12,251054,4
SeqPermutation,5341,12,482449,4
ParPermutation,5341,12,188417,4
ParPermutationFull,5341,12,7284026,4
Naive,6670,12,41782,0
SeqPriority,6670,12,1393999
ParPriority,6670,12,240292,0
SeqPermutation,6670,12,482818,0
ParPermutation,6670,12,181082,0
ParPermutationFull,6670,12,7283234,0
Naive,6670,12,39735,1
SeqPriority,6670,12,1378975
ParPriority,6670,12,242831,1
SeqPermutation,6670,12,483175,1
ParPermutation,6670,12,187958,1
ParPermutationFull,6670,12,7287409,1
Naive,6670,12,39640,2
SeqPriority,6670,12,1488592
ParPriority,6670,12,258699,2
SeqPermutation,6670,12,481658,2
ParPermutation,6670,12,186262,2
ParPermutationFull,6670,12,7287187,2
Naive,6670,12,39305,3
SeqPriority,6670,12,1259061
ParPriority,6670,12,253504,3
SeqPermutation,6670,12,471051,3
ParPermutation,6670,12,183725,3
ParPermutationFull,6670,12,7291271,3
Naive,6670,12,39143,4
SeqPriority,6670,12,1390817
ParPriority,6670,12,246461,4
SeqPermutation,6670,12,474774,4
ParPermutation,6670,12,184398,4
ParPermutationFull,6670,12,7308958,4
Naive,7999,12,40693,0
SeqPriority,7999,12,1349228
ParPriority,7999,12,240672,0
SeqPermutation,7999,12,488459,0
ParPermutation,7999,12,183650,0
ParPermutationFull,7999,12,7287526,0
Naive,7999,12,40422,1
SeqPriority,7999,12,1220137
ParPriority,7999,12,246235,1
SeqPermutation,7999,12,488424,1
ParPermutation,7999,12,183160,1
ParPermutationFull,7999,12,7293415,1
Naive,7999,12,39700,2
SeqPriority,7999,12,1398025
ParPriority,7999,12,242862,2
SeqPermutation,7999,12,471246,2
ParPermutation,7999,12,184045,2
ParPermutationFull,7999,12,7288999,2
Naive,7999,12,40326,3
SeqPriority,7999,12,1463072
ParPriority,7999,12,243539,3
SeqPermutation,7999,12,489796,3
ParPermutation,7999,12,187321,3
ParPermutationFull,7999,12,7281963,3
Naive,7999,12,39586,4
SeqPriority,7999,12,1385252
ParPriority,7999,12,242098,4
SeqPermutation,7999,12,471236,4
ParPermutation,7999,12,187990,4
ParPermutationFull,7999,12,7299164,4
Naive,9327,12,40049,0
SeqPriority,9327,12,1211276
ParPriority,9327,12,240970,0
SeqPermutation,9327,12,489651,0
ParPermutation,9327,12,185146,0
ParPermutationFull,9327,12,7294840,0
Naive,9327,12,40334,1
SeqPriority,9327,12,1339910
ParPriority,9327,12,243405,1
SeqPermutation,9327,12,499099,1
ParPermutation,9327,12,189182,1
ParPermutationFull,9327,12,7300957,1
Naive,9327,12,39798,2
SeqPriority,9327,12,1377739
ParPriority,9327,12,239539,2
SeqPermutation,9327,12,483127,2
ParPermutation,9327,12,195630,2
ParPermutationFull,9327,12,7288029,2
Naive,9327,12,39725,3
SeqPriority,9327,12,1219595
ParPriority,9327,12,244186,3
SeqPermutation,9327,12,483252,3
ParPermutation,9327,12,182662,3
ParPermutationFull,9327,12,7291017,3
Naive,9327,12,39730,4
SeqPriority,9327,12,1246028
ParPriority,9327,12,242888,4
SeqPermutation,9327,12,486708,4
ParPermutation,9327,12,185359,4
ParPermutationFull,9327,12,7303252,4
Naive,10000,12,40127,0
SeqPriority,10000,12,1383019
ParPriority,10000,12,242979,0
SeqPermutation,10000,12,486001,0
ParPermutation,10000,12,182810,0
ParPermutationFull,10000,12,7294601,0
Naive,10000,12,40166,1
SeqPriority,10000,12,1539054
ParPriority,10000,12,243773,1
SeqPermutation,10000,12,486013,1
ParPermutation,10000,12,184963,1
ParPermutationFull,10000,12,7297461,1
Naive,10000,12,40587,2
SeqPriority,10000,12,1343073
ParPriority,10000,12,239125,2
SeqPermutation,10000,12,475439,2
ParPermutation,10000,12,184152,2
ParPermutationFull,10000,12,7289547,2
Naive,10000,12,41145,3
SeqPriority,10000,12,1218785
ParPriority,10000,12,245401,3
SeqPermutation,10000,12,489908,3
ParPermutation,10000,12,184688,3
ParPermutationFull,10000,12,7294476,3
Naive,10000,12,41593,4
SeqPriority,10000,12,1403592
ParPriority,10000,12,240711,4
SeqPermutation,10000,12,493608,4
ParPermutation,10000,12,187806,4
ParPermutationFull,10000,12,7292524,4
Naive,1010000,12,208359,0
SeqPriority,1010000,12,1532086
ParPriority,1010000,12,280786,0
SeqPermutation,1010000,12,497233,0
ParPermutation,1010000,12,224085,0
ParPermutationFull,1010000,12,7298694,0
Naive,1010000,12,217510,1
SeqPriority,1010000,12,1600164
ParPriority,1010000,12,269058,1
SeqPermutation,1010000,12,492469,1
ParPermutation,1010000,12,224106,1
ParPermutationFull,1010000,12,7283937,1
Naive,1010000,12,205479,2
SeqPriority,1010000,12,1508298
ParPriority,1010000,12,263789,2
SeqPermutation,1010000,12,495148,2
ParPermutation,1010000,12,226976,2
ParPermutationFull,1010000,12,7297174,2
Naive,1010000,12,200507,3
SeqPriority,1010000,12,1556851
ParPriority,1010000,12,268672,3
SeqPermutation,1010000,12,489884,3
ParPermutation,1010000,12,222246,3
ParPermutationFull,1010000,12,7286380,3
Naive,1010000,12,201441,4
SeqPriority,1010000,12,1284055
ParPriority,1010000,12,283348,4
SeqPermutation,1010000,12,488232,4
ParPermutation,1010000,12,224365,4
ParPermutationFull,1010000,12,7292281,4
Naive,2010000,12,543667,0
SeqPriority,2010000,12,1438760
ParPriority,2010000,12,300720,0
SeqPermutation,2010000,12,494400,0
ParPermutation,2010000,12,257010,0
ParPermutationFull,2010000,12,7285505,0
Naive,2010000,12,538681,1
SeqPriority,2010000,12,1329699
ParPriority,2010000,12,292740,1
SeqPermutation,2010000,12,490327,1
ParPermutation,2010000,12,263284,1
ParPermutationFull,2010000,12,7289681,1
Naive,2010000,12,527882,2
SeqPriority,2010000,12,1403758
ParPriority,2010000,12,280986,2
SeqPermutation,2010000,12,487894,2
ParPermutation,2010000,12,266745,2
ParPermutationFull,2010000,12,7303898,2
Naive,2010000,12,535773,3
SeqPriority,2010000,12,1497163
ParPriority,2010000,12,277194,3
SeqPermutation,2010000,12,500080,3
ParPermutation,2010000,12,257895,3
ParPermutationFull,2010000,12,7303377,3
Naive,2010000,12,523130,4
SeqPriority,2010000,12,1488901
ParPriority,2010000,12,301001,4
SeqPermutation,2010000,12,482225,4
ParPermutation,2010000,12,256344,4
ParPermutationFull,2010000,12,7302769,4
Naive,3010000,12,1051029,0
SeqPriority,3010000,12,1493356
ParPriority,3010000,12,294928,0
SeqPermutation,3010000,12,509073,0
ParPermutation,3010000,12,304227,0
ParPermutationFull,3010000,12,7293241,0
Naive,3010000,12,1030531,1
SeqPriority,3010000,12,1391616
ParPriority,3010000,12,291740,1
SeqPermutation,3010000,12,506784,1
ParPermutation,3010000,12,301132,1
ParPermutationFull,3010000,12,7289815,1
Naive,3010000,12,996524,2
SeqPriority,3010000,12,1509856
ParPriority,3010000,12,280342,2
SeqPermutation,3010000,12,507159,2
ParPermutation,3010000,12,308780,2
ParPermutationFull,3010000,12,7289397,2
Naive,3010000,12,1020200,3
SeqPriority,3010000,12,1446939
ParPriority,3010000,12,300029,3
SeqPermutation,3010000,12,509288,3
ParPermutation,3010000,12,299833,3
ParPermutationFull,3010000,12,7290853,3
Naive,3010000,12,1022665,4
SeqPriority,3010000,12,1383179
ParPriority,3010000,12,302935,4
SeqPermutation,3010000,12,511129,4
ParPermutation,3010000,12,304998,4
ParPermutationFull,3010000,12,7305357,4
Naive,4010000,12,1326302,0
SeqPriority,4010000,12,1368119
ParPriority,4010000,12,304262,0
SeqPermutation,4010000,12,516773,0
ParPermutation,4010000,12,345373,0
ParPermutationFull,4010000,12,7302408,0
Naive,4010000,12,1342054,1
SeqPriority,4010000,12,1593602
ParPriority,4010000,12,304627,1
SeqPermutation,4010000,12,519791,1
ParPermutation,4010000,12,348310,1
ParPermutationFull,4010000,12,7294937,1
Naive,4010000,12,1349541,2
SeqPriority,4010000,12,1506641
ParPriority,4010000,12,296437,2
SeqPermutation,4010000,12,515455,2
ParPermutation,4010000,12,346159,2
ParPermutationFull,4010000,12,7291626,2
Naive,4010000,12,1339182,3
SeqPriority,4010000,12,1628841
ParPriority,4010000,12,293736,3
SeqPermutation,4010000,12,518140,3
ParPermutation,4010000,12,353792,3
ParPermutationFull,4010000,12,7293031,3
Naive,4010000,12,1351095,4
SeqPriority,4010000,12,1525089
ParPriority,4010000,12,313922,4
SeqPermutation,4010000,12,522514,4
ParPermutation,4010000,12,359175,4
ParPermutationFull,4010000,12,7293306,4
Naive,5010000,12,1688705,0
SeqPriority,5010000,12,1535065
ParPriority,5010000,12,310057,0
SeqPermutation,5010000,12,523695,0
ParPermutation,5010000,12,414563,0
ParPermutationFull,5010000,12,7304289,0
Naive,5010000,12,1689545,1
SeqPriority,5010000,12,1407793
ParPriority,5010000,12,292859,1
SeqPermutation,5010000,12,541267,1
ParPermutation,5010000,12,404407,1
ParPermutationFull,5010000,12,7288420,1
Naive,5010000,12,1709584,2
SeqPriority,5010000,12,1340123
ParPriority,5010000,12,288198,2
SeqPermutation,5010000,12,529431,2
ParPermutation,5010000,12,405886,2
ParPermutationFull,5010000,12,7287091,2
Naive,5010000,12,1687568,3
SeqPriority,5010000,12,1357957
ParPriority,5010000,12,300528,3
SeqPermutation,5010000,12,525561,3
ParPermutation,5010000,12,405096,3
ParPermutationFull,5010000,12,7303412,3
Naive,5010000,12,1703447,4
SeqPriority,5010000,12,1564977
ParPriority,5010000,12,311395,4
SeqPermutation,5010000,12,524046,4
ParPermutation,5010000,12,417205,4
ParPermutationFull,5010000,12,7286184,4
Naive,6010000,12,2486037,0
SeqPriority,6010000,12,1447802
ParPriority,6010000,12,316271,0
SeqPermutation,6010000,12,529861,0
ParPermutation,6010000,12,479620,0
ParPermutationFull,6010000,12,7297912,0
Naive,6010000,12,2539446,1
SeqPriority,6010000,12,1561049
ParPriority,6010000,12,317728,1
SeqPermutation,6010000,12,532929,1
ParPermutation,6010000,12,468022,1
ParPermutationFull,6010000,12,7296299,1
Naive,6010000,12,2505394,2
SeqPriority,6010000,12,1413459
ParPriority,6010000,12,285098,2
SeqPermutation,6010000,12,525985,2
ParPermutation,6010000,12,467982,2
ParPermutationFull,6010000,12,7304939,2
Naive,6010000,12,2504918,3
SeqPriority,6010000,12,1224001
ParPriority,6010000,12,298882,3
SeqPermutation,6010000,12,511920,3
ParPermutation,6010000,12,468792,3
ParPermutationFull,6010000,12,7291909,3
Naive,6010000,12,2453880,4
SeqPriority,6010000,12,1338565
ParPriority,6010000,12,303760,4
SeqPermutation,6010000,12,511629,4
ParPermutation,6010000,12,478097,4
ParPermutationFull,6010000,12,7292376,4
Naive,7010000,12,2740519,0
SeqPriority,7010000,12,1437609
ParPriority,7010000,12,304927,0
SeqPermutation,7010000,12,519574,0
ParPermutation,7010000,12,527740,0
ParPermutationFull,7010000,12,7290611,0
Naive,7010000,12,2727074,1
SeqPriority,7010000,12,1252378
ParPriority,7010000,12,307429,1
SeqPermutation,7010000,12,530260,1
ParPermutation,7010000,12,536409,1
ParPermutationFull,7010000,12,7288906,1
Naive,7010000,12,2712660,2
SeqPriority,7010000,12,1577265
ParPriority,7010000,12,296966,2
SeqPermutation,7010000,12,513569,2
ParPermutation,7010000,12,536571,2
ParPermutationFull,7010000,12,7297627,2
Naive,7010000,12,2779476,3
SeqPriority,7010000,12,1510741
ParPriority,7010000,12,304827,3
SeqPermutation,7010000,12,531996,3
ParPermutation,7010000,12,530426,3
ParPermutationFull,7010000,12,7293608,3
Naive,7010000,12,2740714,4
SeqPriority,7010000,12,1570967
ParPriority,7010000,12,299077,4
SeqPermutation,7010000,12,532562,4
ParPermutation,7010000,12,528355,4
ParPermutationFull,7010000,12,7296232,4
Naive,8010000,12,3076309,0
SeqPriority,8010000,12,1463697
ParPriority,8010000,12,298254,0
SeqPermutation,8010000,12,546598,0
ParPermutation,8010000,12,592972,0
ParPermutationFull,8010000,12,7299613,0
Naive,8010000,12,3079071,1
SeqPriority,8010000,12,1504554
ParPriority,8010000,12,309849,1
SeqPermutation,8010000,12,540485,1
ParPermutation,8010000,12,583300,1
ParPermutationFull,8010000,12,7283028,1
Naive,8010000,12,3052884,2
SeqPriority,8010000,12,1679121
ParPriority,8010000,12,312295,2
SeqPermutation,8010000,12,541645,2
ParPermutation,8010000,12,583482,2
ParPermutationFull,8010000,12,7295826,2
Naive,8010000,12,3045835,3
SeqPriority,8010000,12,1502744
ParPriority,8010000,12,300295,3
SeqPermutation,8010000,12,533941,3
ParPermutation,8010000,12,590280,3
ParPermutationFull,8010000,12,7298938,3
Naive,8010000,12,3058611,4
SeqPriority,8010000,12,1651244
ParPriority,8010000,12,315448,4
SeqPermutation,8010000,12,535384,4
ParPermutation,8010000,12,590544,4
ParPermutationFull,8010000,12,7295072,4
Naive,9010000,12,3410734,0
SeqPriority,9010000,12,1608995
ParPriority,9010000,12,300850,0
SeqPermutation,9010000,12,540538,0
ParPermutation,9010000,12,658126,0
ParPermutationFull,9010000,12,7299390,0
Naive,9010000,12,3398048,1
SeqPriority,9010000,12,1566686
ParPriority,9010000,12,298829,1
SeqPermutation,9010000,12,540533,1
ParPermutation,9010000,12,652694,1
ParPermutationFull,9010000,12,7286838,1
Naive,9010000,12,3531987,2
SeqPriority,9010000,12,1680767
ParPriority,9010000,12,307680,2
SeqPermutation,9010000,12,552453,2
ParPermutation,9010000,12,655748,2
ParPermutationFull,9010000,12,7283742,2
Naive,9010000,12,3436457,3
SeqPriority,9010000,12,1519279
ParPriority,9010000,12,291543,3
SeqPermutation,9010000,12,547493,3
ParPermutation,9010000,12,653380,3
ParPermutationFull,9010000,12,7286639,3
Naive,9010000,12,3399055,4
SeqPriority,9010000,12,1646671
ParPriority,9010000,12,298781,4
SeqPermutation,9010000,12,544489,4
ParPermutation,9010000,12,668283,4
ParPermutationFull,9010000,12,7292761,4
Naive,10000000,12,3726569,0
SeqPriority,10000000,12,1345189
ParPriority,10000000,12,294277,0
SeqPermutation,10000000,12,549192,0
ParPermutation,10000000,12,722467,0
ParPermutationFull,10000000,12,7300665,0
Naive,10000000,12,3742147,1
SeqPriority,10000000,12,1464073
ParPriority,10000000,12,296750,1
SeqPermutation,10000000,12,571724,1
ParPermutation,10000000,12,726202,1
ParPermutationFull,10000000,12,7293531,1
Naive,10000000,12,3688262,2
SeqPriority,10000000,12,1434726
ParPriority,10000000,12,302295,2
SeqPermutation,10000000,12,550155,2
ParPermutation,10000000,12,722349,2
ParPermutationFull,10000000,12,7304760,2
Naive,10000000,12,3651361,3
SeqPriority,10000000,12,1607860
ParPriority,10000000,12,319536,3
SeqPermutation,10000000,12,550953,3
ParPermutation,10000000,12,730562,3
ParPermutationFull,10000000,12,7305007,3
Naive,10000000,12,3630158,4
SeqPriority,10000000,12,1636638
ParPriority,10000000,12,294134,4
SeqPermutation,10000000,12,552121,4
ParPermutation,10000000,12,730339,4
ParPermutationFull,10000000,12,7303348,4
Naive,25000000,12,10174059,0
SeqPriority,25000000,12,3357257
ParPriority,25000000,12,305925,0
SeqPermutation,25000000,12,633353,0
ParPermutation,25000000,12,1722942,0
ParPermutationFull,25000000,12,7291606,0
Naive,25000000,12,10196853,1
SeqPriority,25000000,12,3132522
ParPriority,25000000,12,333031,1
SeqPermutation,25000000,12,659074,1
ParPermutation,25000000,12,1737020,1
ParPermutationFull,25000000,12,7301296,1
Naive,25000000,12,11870777,2
SeqPriority,25000000,12,1708298
ParPriority,25000000,12,315676,2
SeqPermutation,25000000,12,640589,2
ParPermutation,25000000,12,1716037,2
ParPermutationFull,25000000,12,7301396,2
Naive,25000000,12,11642334,3
SeqPriority,25000000,12,1699088
ParPriority,25000000,12,336981,3
SeqPermutation,25000000,12,641704,3
ParPermutation,25000000,12,1734174,3
ParPermutationFull,25000000,12,7302811,3
Naive,25000000,12,11839796,4
SeqPriority,25000000,12,1785962
ParPriority,25000000,12,330106,4
SeqPermutation,25000000,12,662391,4
ParPermutation,25000000,12,1719122,4
ParPermutationFull,25000000,12,7313994,4
Naive,50000000,12,23701167,0
SeqPriority,50000000,12,2006553
ParPriority,50000000,12,313570,0
SeqPermutation,50000000,12,777667,0
ParPermutation,50000000,12,3455833,0
ParPermutationFull,50000000,12,7258720,0
Naive,50000000,12,23680059,1
SeqPriority,50000000,12,1990249
ParPriority,50000000,12,320898,1
SeqPermutation,50000000,12,769462,1
ParPermutation,50000000,12,3447800,1
ParPermutationFull,50000000,12,7293069,1
Naive,50000000,12,23956673,2
SeqPriority,50000000,12,1827540
ParPriority,50000000,12,343791,2
SeqPermutation,50000000,12,831558,2
ParPermutation,50000000,12,3529227,2
ParPermutationFull,50000000,12,7346456,2
Naive,50000000,12,23546663,3
SeqPriority,50000000,12,1894689
ParPriority,50000000,12,334390,3
SeqPermutation,50000000,12,766751,3
ParPermutation,50000000,12,3459630,3
ParPermutationFull,50000000,12,7266243,3
Naive,50000000,12,23680600,4
SeqPriority,50000000,12,1869075
ParPriority,50000000,12,338228,4
SeqPermutation,50000000,12,791412,4
ParPermutation,50000000,12,3476321,4
ParPermutationFull,50000000,12,7283035,4
Naive,75000000,12,30189535,0
SeqPriority,75000000,12,1620851
ParPriority,75000000,12,351155,0
SeqPermutation,75000000,12,870664,0
ParPermutation,75000000,12,5264770,0
ParPermutationFull,75000000,12,7230390,0
Naive,75000000,12,30033483,1
SeqPriority,75000000,12,1708095
ParPriority,75000000,12,352996,1
SeqPermutation,75000000,12,875201,1
ParPermutation,75000000,12,5257774,1
ParPermutationFull,75000000,12,7191282,1
Naive,75000000,12,29737321,2
SeqPriority,75000000,12,1560177
ParPriority,75000000,12,363808,2
SeqPermutation,75000000,12,873481,2
ParPermutation,75000000,12,5250428,2
ParPermutationFull,75000000,12,7185364,2
Naive,75000000,12,29718915,3
SeqPriority,75000000,12,1592789
ParPriority,75000000,12,355643,3
SeqPermutation,75000000,12,867739,3
ParPermutation,75000000,12,5248651,3
ParPermutationFull,75000000,12,7188643,3
Naive,75000000,12,29708034,4
SeqPriority,75000000,12,1543695
ParPriority,75000000,12,358523,4
SeqPermutation,75000000,12,869680,4
ParPermutation,75000000,12,5247981,4
ParPermutationFull,75000000,12,7179132,4
Naive,90000000,12,37204423,0
SeqPriority,90000000,12,1547116
ParPriority,90000000,12,411401,0
SeqPermutation,90000000,12,1012436,0
ParPermutation,90000000,12,6521517,0
ParPermutationFull,90000000,12,7321963,0
Naive,90000000,12,38516761,1
SeqPriority,90000000,12,1673233
ParPriority,90000000,12,369022,1
SeqPermutation,90000000,12,979777,1
ParPermutation,90000000,12,6412975,1
ParPermutationFull,90000000,12,7229182,1
Naive,90000000,12,37879297,2
SeqPriority,90000000,12,1609347
ParPriority,90000000,12,376617,2
SeqPermutation,90000000,12,957346,2
ParPermutation,90000000,12,6408243,2
ParPermutationFull,90000000,12,7192508,2
Naive,90000000,12,37875949,3
SeqPriority,90000000,12,1583287
ParPriority,90000000,12,339263,3
SeqPermutation,90000000,12,956398,3
ParPermutation,90000000,12,6429123,3
ParPermutationFull,90000000,12,7204019,3
Naive,90000000,12,37109442,4
SeqPriority,90000000,12,1477065
ParPriority,90000000,12,369904,4
SeqPermutation,90000000,12,945027,4
ParPermutation,90000000,12,6443817,4
ParPermutationFull,90000000,12,7199573,4
